index;sentence;aspect;sentiment_coded;polarity
312;With a mac you don't have to worry about antivirus software or firewall, it's so wonderful.;antivirus software;2;neutral
313;With a mac you don't have to worry about antivirus software or firewall, it's so wonderful.;firewall;2;neutral
314;Am very glad I bought it, great netbook, low price.;price;1;positive
315;The Apple team also assists you very nicely when choosing which computer is right for you :);Apple team;1;positive
316;I think part of the problem with this computer is Vista, yet I know Vista isn't the entire issue because my latest purchase was my Acer and it also has Vista (I should have waited the few months to get the next operating system).;Vista;0;negative
317;I think part of the problem with this computer is Vista, yet I know Vista isn't the entire issue because my latest purchase was my Acer and it also has Vista (I should have waited the few months to get the next operating system).;Vista;0;negative
318;I think part of the problem with this computer is Vista, yet I know Vista isn't the entire issue because my latest purchase was my Acer and it also has Vista (I should have waited the few months to get the next operating system).;operating system;2;neutral
319;I think part of the problem with this computer is Vista, yet I know Vista isn't the entire issue because my latest purchase was my Acer and it also has Vista (I should have waited the few months to get the next operating system).;Vista;0;negative
320;The video chat is the only thing that is iffy about it but im sure once they unpdate the next version on the macbook book the quality of it will be better.;video chat;0;negative
322;That whole experience was just ridiculous we sent it in and after they told us that we had to pay $175 to fix it we were like we will just by a portable mouse which would be way cheaper but they refused to send the laptop back until we paid the $175 and it was fixed.;mouse;1;positive
323;Fan vents to the side, so no cooling pad needed, great feature!;Fan;1;positive
324;Fan vents to the side, so no cooling pad needed, great feature!;cooling pad;2;neutral
325;Fan vents to the side, so no cooling pad needed, great feature!;feature;1;positive
326;i use my mac all the time, i love the software, the way it takes a short time to load things, how easy it is to use and most of all how you don't have to worry about viruses.;software;1;positive
327;Wasted me at least 8 hours of installation time.;installation time;0;negative
328;It has far exceeded my expectations for power, storage, and abilitiy.;power;1;positive
329;It has far exceeded my expectations for power, storage, and abilitiy.;storage;1;positive
330;It has far exceeded my expectations for power, storage, and abilitiy.;abilitiy;1;positive
331;A great feature is the spotlight search: one can search for documents by simply typing a keyword, rather than parsing tens of file folders for a document.;spotlight search;1;positive
332;A great feature is the spotlight search: one can search for documents by simply typing a keyword, rather than parsing tens of file folders for a document.;feature;1;positive
333;My wireless system would not recognize Windows 7 and I couldn't get online to find out why.;wireless system;0;negative
334;My wireless system would not recognize Windows 7 and I couldn't get online to find out why.;Windows 7;2;neutral
335;I am enjoying it and the quality it provides is great!;quality;1;positive
336;Suffice it to say, my MacBook Pro keeps me going with its long battery life and blazing speed.;battery life;1;positive
337;Suffice it to say, my MacBook Pro keeps me going with its long battery life and blazing speed.;speed;1;positive
338;The OS is also very user friendly, even for those that switch from a PC, with a little practice you can take full advantage of this OS!;OS;1;positive
339;The OS is also very user friendly, even for those that switch from a PC, with a little practice you can take full advantage of this OS!;OS;1;positive
340;iTunes is a handy music-management program, and it is essential for anyone with an iPod.;iTunes;1;positive
341;iTunes is a handy music-management program, and it is essential for anyone with an iPod.;program;1;positive
342;Mac is not made for gaming.;gaming;0;negative
343;Well I spilled something on it and they replaced it with this model, which gets hot and the battery doesn't make it through 1 DVD.;battery;0;negative
344;I've had to call Apple support to set up my new printer and have had wonderful experiences with helpful, english speaking (from Vancouver) techs that walked me through the processes to help me.;Apple support;1;positive
345;I've had to call Apple support to set up my new printer and have had wonderful experiences with helpful, english speaking (from Vancouver) techs that walked me through the processes to help me.;techs;1;positive
346;But Sony said we could send it back and be charged for adding the bluetooth an additional seventy something dollars.;adding the bluetooth;0;negative
347;I need graphic power to run my Adobe Creative apps efficiently.;graphic power;2;neutral
348;I need graphic power to run my Adobe Creative apps efficiently.;Adobe Creative apps;2;neutral
349;the programs are esay to use and are quick to process this computer works like a charm.;programs;1;positive
350;the programs are esay to use and are quick to process this computer works like a charm.;use;1;positive
351;The materials that came with the computer did not include the right # anywhere.;materials;0;negative
352;It does not even have the software to play a dvd now.;software;0;negative
353;Tech support tells me the latter problem is a power supply problem and have offered to fix it if it happens again.;Tech support;1;positive
354;Tech support tells me the latter problem is a power supply problem and have offered to fix it if it happens again.;power supply;0;negative
355;HOW DOES THE POWER SUPPLY NOT WORK!!!;POWER SUPPLY;0;negative
356;Sells for the same as a netbook without sacrificing size.;size;1;positive
357;  upon giving them the serial number the first thing I was told, was that it was out of warranty and I could pay to have it repaired.;warranty;2;neutral
358;Windows XP SP2 caused many problems on the computer, so I had to remove it.;Windows XP SP2;0;negative
359;I reloaded with Windows 7 Ultimate, and the Bluetooth and Fingerprint reader (software) would not load.;Windows 7 Ultimate;0;negative
360;I reloaded with Windows 7 Ultimate, and the Bluetooth and Fingerprint reader (software) would not load.;Bluetooth;0;negative
361;I reloaded with Windows 7 Ultimate, and the Bluetooth and Fingerprint reader (software) would not load.;Fingerprint reader;0;negative
362;I reloaded with Windows 7 Ultimate, and the Bluetooth and Fingerprint reader (software) would not load.;software;0;negative
363;None of the techs at HP knew what they were doing.;techs at HP;0;negative
364;this is my second one and the same problem, bad video card  unreliable overall, this will be my second time returning this laptop back to best buy.;video card;0;negative
365;With awesome graphics and assuring security, it's perfect!;graphics;1;positive
366;With awesome graphics and assuring security, it's perfect!;security;1;positive
367;Laptop was in new condition and operational, but for the audio problem when 1st sent for repair.;audio;0;negative
368;I was disappointed when I realized that the keyboard doesn't light up on this model.;keyboard;0;negative
369;It runs perfectly.;runs;1;positive
370;The laptop was very easy to set up.;set up;1;positive
371;  Sometimes the screen even goes black on this computer.;screen;0;negative
372;I recommend for word processing and internet users.;word processing;1;positive
373;I recommend for word processing and internet users.;internet;1;positive
374;Since I've had this computer I've only used the trackpad because it is so nice and smooth.;trackpad;1;positive
376;A longer battery life would have been great - but it meets it's spec quite easily.;spec;1;positive
377;Who couldn't love a DVD burner, 80-gigabyte HD, and fairly new graphics chip? As I soon discovered, though, there is a reason for which similarly-configured Sony and Toshiba machines cost more: they use higher-quality components that are faster, better-configured, and end up lasting a lot longer.;HD;1;positive
378;Who couldn't love a DVD burner, 80-gigabyte HD, and fairly new graphics chip? As I soon discovered, though, there is a reason for which similarly-configured Sony and Toshiba machines cost more: they use higher-quality components that are faster, better-configured, and end up lasting a lot longer.;graphics chip;1;positive
379;Who couldn't love a DVD burner, 80-gigabyte HD, and fairly new graphics chip? As I soon discovered, though, there is a reason for which similarly-configured Sony and Toshiba machines cost more: they use higher-quality components that are faster, better-configured, and end up lasting a lot longer.;components;1;positive
380;Who couldn't love a DVD burner, 80-gigabyte HD, and fairly new graphics chip? As I soon discovered, though, there is a reason for which similarly-configured Sony and Toshiba machines cost more: they use higher-quality components that are faster, better-configured, and end up lasting a lot longer.;DVD burner;1;positive
381;Its fast and another thing I like is that it has three USB ports.;USB ports;1;positive
382;The salesman talked us into this computer away from another we were looking at and we have had nothing but problems with software problems and just not happy with it.;software;0;negative
383;That system is fixed.;system;2;neutral
384;The computer itself was fast, ran smoothly, and had no problems.;ran;1;positive
385;Like the price and operation.;price;1;positive
386;Like the price and operation.;operation;1;positive
387;The brand is tarnished in my heart.;brand;0;negative
388;This is likely due to poor grounding and isolation between the components, and I'm hoping that it can be fixed with a ground loop isolator, but I still expected better product quality for this price range.;components;0;negative
389;This is likely due to poor grounding and isolation between the components, and I'm hoping that it can be fixed with a ground loop isolator, but I still expected better product quality for this price range.;ground loop isolator;2;neutral
390;This is likely due to poor grounding and isolation between the components, and I'm hoping that it can be fixed with a ground loop isolator, but I still expected better product quality for this price range.;price range;0;negative
391;This is likely due to poor grounding and isolation between the components, and I'm hoping that it can be fixed with a ground loop isolator, but I still expected better product quality for this price range.;quality;0;negative
392;I 'have had it for about a 1 1/2 and yes I have had an issue with it one month out of warranty.;warranty;2;neutral
393;Once open, the leading edge is razor sharp.;leading edge;0;negative
394;Loaded with bloatware.;bloatware;2;neutral
395;Maximum sound isn't nearly as loud as it should be.;Maximum sound;0;negative
396;I loaded windows 7 via Bootcamp and it works flawlessly!;windows 7;1;positive
397;I loaded windows 7 via Bootcamp and it works flawlessly!;Bootcamp;1;positive
398;Great Laptop for the price, works well with action pack games.;price;1;positive
399;Great Laptop for the price, works well with action pack games.;action pack games;2;neutral
400;Great Laptop for the price, works well with action pack games.;works;1;positive
401;Although the price is higher then Dell laptops, the Macbooks are worth the dough.;price;0;negative
402;I would not recommend this to anyone wanting a notebook expecting the performance of a Desktop it does not meet the expectations.;performance;0;negative
403;The Macbook arrived in a nice twin packing and sealed in the box, all the functions works great.;twin packing;1;positive
404;The Macbook arrived in a nice twin packing and sealed in the box, all the functions works great.;functions;1;positive
405;So what if the laptops/mobile phones look chic and cool? The after sales support is terrible.;after sales support;0;negative
406;So what if the laptops/mobile phones look chic and cool? The after sales support is terrible.;look;1;positive
407;I hate the display screen and I have done everything I could do the change it.;display screen;0;negative
408;I also like the acer arcade but these were reallythe only two things I liked about this laptop.;acer arcade;1;positive
409;Have not yet needed any customer support with this yet so to me that is a great thing, which is leaps and bounds ahead of PC in my opinion.;customer support;1;positive
410;I gave it to my daughter because I just hated the screen, hated that it had no cd drive to at least play cd's when I wanted to listen to music and do schoolwork.;screen;0;negative
411;I gave it to my daughter because I just hated the screen, hated that it had no cd drive to at least play cd's when I wanted to listen to music and do schoolwork.;cd drive;0;negative
412;It runs very quiet too which is a plus.;runs;1;positive
413;but it  has a major design flaw.;design;0;negative
414;It was heavy,bulky, and hard to carry because of the size.;size;0;negative
415;The games included are very good games.;games;2;neutral
416;The games included are very good games.;games;1;positive
417;this computer will last you at least 7 years, thats an amazing life spanned an electronic.;life;1;positive
418;I had something else go wrong and they said it had to be in good working order to be able to buy the warranty.;warranty;0;negative
419;Sometimes you really have to tap the pad to get it to worki;pad;0;negative
420;It's super fast and a great value for the price!;value;1;positive
421;It's super fast and a great value for the price!;price;1;positive
422;Three, the mac book has advantages over pcs' with linux based os there is very 'few problems with system performance when it comes to a mac.;system performance;0;negative
423;Three, the mac book has advantages over pcs' with linux based os there is very 'few problems with system performance when it comes to a mac.;linux based os;0;negative
424;A mac is very easy to use and it simply makes sense.;use;1;positive
425;however, I may have inadvertently thrown out one of the batteries with the shipping carton.;batteries;2;neutral
426;however, I may have inadvertently thrown out one of the batteries with the shipping carton.;shipping carton;2;neutral
427;It is so much easier to use;use;1;positive
428;There is no need to open a program first and the cliick open or import.;program;1;positive
429;It is so nice not to worry about that and the extra expense that comes along with the necessary virus protection on PC's.;virus protection;1;positive
430;Three weeks after I bought the netbook, the screen quit working.;screen;0;negative
431;The processor screams, and because of the unique way that Apple OSX 16 functions, most of the graphics are routed through the hardware rather than the software.;processor;1;positive
432;The processor screams, and because of the unique way that Apple OSX 16 functions, most of the graphics are routed through the hardware rather than the software.;OSX 16;1;positive
433;The processor screams, and because of the unique way that Apple OSX 16 functions, most of the graphics are routed through the hardware rather than the software.;graphics;1;positive
434;The processor screams, and because of the unique way that Apple OSX 16 functions, most of the graphics are routed through the hardware rather than the software.;hardware;2;neutral
435;The processor screams, and because of the unique way that Apple OSX 16 functions, most of the graphics are routed through the hardware rather than the software.;software;2;neutral
436;I wanted something that had a new Intel Core processors and HDMI port so that we could hook it up directly to our TV.;Intel Core processors;2;neutral
437;I wanted something that had a new Intel Core processors and HDMI port so that we could hook it up directly to our TV.;HDMI port;2;neutral
439;With today's company fighting over marketshare, its a shame that ASUS can get away with the inept staff answering thephone.;staff;0;negative
440;The price premium is a little much, but when you start looking at the features it is worth the added cash.;price premium;0;negative
441;The price premium is a little much, but when you start looking at the features it is worth the added cash.;features;1;positive
442;I can't say enough of how satisfied I am with their product and help aftermarket.;product and help aftermarket;1;positive
443;Microsoft word was not on it andI had to buy it seperately.;Microsoft word;0;negative
444;it has 3 usb ports, 1 sd memory card reader and an sd memory car expansion.;usb ports;2;neutral
445;it has 3 usb ports, 1 sd memory card reader and an sd memory car expansion.;sd memory card reader;2;neutral
446;it has 3 usb ports, 1 sd memory card reader and an sd memory car expansion.;sd memory car expansion;2;neutral
447;I connect a LaCie 2Big external drive via the firewire 800 interface, which is useful for Time Machine.;LaCie 2Big external drive;2;neutral
448;I connect a LaCie 2Big external drive via the firewire 800 interface, which is useful for Time Machine.;firewire 800 interface;1;positive
449;I connect a LaCie 2Big external drive via the firewire 800 interface, which is useful for Time Machine.;Time Machine;2;neutral
450;My Toshiba did not have sound on everything, just certain things.;sound;0;negative
451;I am overall very pleased with my toshiba satellite, I like the extra features, I love the windows 7 home premium.;extra features;1;positive
452;I am overall very pleased with my toshiba satellite, I like the extra features, I love the windows 7 home premium.;windows 7 home premium;1;positive
453;The Aspire wont even boot past the Acer screen with a Droid (I have tried both Motorola and HTC) plugged into the USB port.;Acer screen;0;negative
454;The Aspire wont even boot past the Acer screen with a Droid (I have tried both Motorola and HTC) plugged into the USB port.;USB port;0;negative
455;The Aspire wont even boot past the Acer screen with a Droid (I have tried both Motorola and HTC) plugged into the USB port.;boot;0;negative
456;The battery life was shorter than expected.;battery life;0;negative
457;It fires up in the morning in less than 30 seconds and I have never had any issues with it freezing.;fires up;1;positive
458;The keyboard is top notch.;keyboard;1;positive
459;It drives me crazy when I want to download a game or something of that nature and I can't play it because its not compatable with the software.;software;0;negative
460;The online tutorial videos make it super easy to learn if you have always used a PC.;online tutorial videos;1;positive
461;The image is great, and the soud is excelent.;image;1;positive
462;The image is great, and the soud is excelent.;soud;1;positive
463;With a MAC computer I have more free time as I don't have to wait for windows to boot up or shut down and all the viruses associated with windows.;windows;0;negative
464;With a MAC computer I have more free time as I don't have to wait for windows to boot up or shut down and all the viruses associated with windows.;boot up;0;negative
465;With a MAC computer I have more free time as I don't have to wait for windows to boot up or shut down and all the viruses associated with windows.;shut down;0;negative
466;With a MAC computer I have more free time as I don't have to wait for windows to boot up or shut down and all the viruses associated with windows.;windows;0;negative
467;It was very easy to just pick up and use-- It did not take long to get used to the Mac OS.;Mac OS;1;positive
468;It was very easy to just pick up and use-- It did not take long to get used to the Mac OS.;use;1;positive
469;It is well worth the money it cost, Very good investment.;cost;1;positive
470;Upgrading from Windows 7 Starter, thru Windows 7 Home Premium, to Windows 7 Professional was a snap;;;
476;The screen is a little glary, and I hated the clicking buttons, but I got used to them.;screen;0;negative
477;The screen is a little glary, and I hated the clicking buttons, but I got used to them.;clicking buttons;0;negative
478;Not to mention, the battery life is absolutely amazing.;battery life;1;positive
479;Windows also shuts the computer down for no reason without warning.;Windows;0;negative
480;not using wired lan not sure what thats about.;wired lan;2;neutral
482;Now for the hardware problems.;hardware;0;negative
483;Anyways I bought this two months ago and when I first brought it home it kept giving me a message about a vibration in the hard drive and it is putting it temporaly in save zone.;hard drive;0;negative
484;It's fast and has excellent battery life.;battery life;1;positive
485;Apple care included.;Apple care;2;neutral
486;Features like the font are very block-like and old school.;font;0;negative
487;Features like the font are very block-like and old school.;Features;0;negative
488;It is loaded with programs that is of no good for the average user, that makes it run way to slow.;programs;0;negative
489;It is loaded with programs that is of no good for the average user, that makes it run way to slow.;run;0;negative
490;I feel that it was poorly put together, because once in a while different plastic pieces would come off of it.;plastic pieces;0;negative
491;Finally, I should note that I took the 2GB RAM stick from my old EeePC and installed it before I even powered on for the first time.;2GB RAM stick;2;neutral
492;Windows is also rather unsteady on its feet and is susceptible to many bugs.;Windows;0;negative
493;After sending out documents via email and having recipients tell me they could not open the documents or they came through as gibberish, I broke down and spent another $100 to get Microsoft Word for Mac.;Microsoft Word for Mac;2;neutral
494;DO NOT BUY GATEWAY COMPUTERS THEY ARE JUNK AND THE WARRANTY COMPANY IS HORRIBLE.;WARRANTY COMPANY;0;negative
495;then on top of it all their cusromer service center is in the middle east.;cusromer service center;0;negative
496;The only bad part is the size/weight.;size;0;negative
497;The only bad part is the size/weight.;weight;0;negative
498;The little battery that it did have would only last about an hour while just having it on the desktop.;battery;0;negative
499;I liked the aluminum body.;aluminum body;1;positive
500;Its good for playing my apps on Facebook or watching movies.;watching movies;1;positive
501;Its good for playing my apps on Facebook or watching movies.;playing;1;positive
502;From the build quality to the performance, everything about it has been sub-par from what I would have expected from Apple.;build quality;0;negative
503;From the build quality to the performance, everything about it has been sub-par from what I would have expected from Apple.;performance;0;negative
504;I love the dock where I can simply drop a file ontop of a particular program, and the program will simply open that file.;dock;1;positive
505;I love the dock where I can simply drop a file ontop of a particular program, and the program will simply open that file.;program;2;neutral
506;I love the dock where I can simply drop a file ontop of a particular program, and the program will simply open that file.;program;1;positive
507;pretty much everything else about the computer is good it just stops working out of no were.;working;0;negative
508;It was truly a great computer costing less than one thousand bucks before tax.;costing;1;positive
509;Waiting for the i7 was well worth it, great value for the price.;price;1;positive
510;Waiting for the i7 was well worth it, great value for the price.;i7;1;positive
511;Now,,,,,my monitor has been acting up for about 2 months.;monitor;0;negative
512;Also, the extended warranty was a problem.;extended warranty;0;negative
513;Boots up fast and runs great!;Boots up;1;positive
514;Boots up fast and runs great!;runs;1;positive
515;Lightweight and the screen is beautiful!;screen;1;positive
516;I needed a driver for my HP and they would not help me with out me paying over $50 for it.;driver;2;neutral
517;Call tech support, standard email the form and fax it back in to us.;tech support;2;neutral
518;They sent it back with a huge crack in it and it still didn't work.;work;0;negative
519; A coupla months later, they change my hard drive.;hard drive;0;negative
520;The Macbook arrived in a nice twin packing and sealed in the box, all the functions works great.;twin packing;1;positive
521;The Macbook arrived in a nice twin packing and sealed in the box, all the functions works great.;functions;1;positive
522;They say sorry out of warranty.;warranty;0;negative
523;I bought this laptop because of the performance to price ratio.;performance;1;positive
524;I bought this laptop because of the performance to price ratio.;price;1;positive
525;PC never worked right even after BIOS fixed.;BIOS;0;negative
526;After having two PC laptops die with in the past 3 years, I was led to the Apple display at Best Buy by the sleek design and promise of less tech issues.;design;1;positive
527;After having two PC laptops die with in the past 3 years, I was led to the Apple display at Best Buy by the sleek design and promise of less tech issues.;tech issues;1;positive
528;The size is perfect and I do not recomend anything bigger except for any person who can exceed the limited space it gives you.;size;1;positive
529;The size is perfect and I do not recomend anything bigger except for any person who can exceed the limited space it gives you.;space;0;negative
530;The service I received from Toshiba went above and beyond the call of duty.;service;1;positive
531;Have had many higher priced computers crash and burn long before ever got to use all that great memory and speed, etc.;memory;0;negative
532;Have had many higher priced computers crash and burn long before ever got to use all that great memory and speed, etc.;speed;0;negative
533;Have had many higher priced computers crash and burn long before ever got to use all that great memory and speed, etc.;priced;0;negative
534;I would recommend it just because of the internet speed probably because thats the only thing i really care about.;internet speed;1;positive
535;There are several programs for school or office use (Pages, Numbers, Keynote, etc.), music (Garageband), photo management (Photo Booth, iPhoto), video-editing or movie-making (iMovie), etc.;programs;2;neutral
536;There are several programs for school or office use (Pages, Numbers, Keynote, etc.), music (Garageband), photo management (Photo Booth, iPhoto), video-editing or movie-making (iMovie), etc.;Garageband;2;neutral
537;There are several programs for school or office use (Pages, Numbers, Keynote, etc.), music (Garageband), photo management (Photo Booth, iPhoto), video-editing or movie-making (iMovie), etc.;Photo Booth;2;neutral
538;There are several programs for school or office use (Pages, Numbers, Keynote, etc.), music (Garageband), photo management (Photo Booth, iPhoto), video-editing or movie-making (iMovie), etc.;iPhoto;2;neutral
539;There are several programs for school or office use (Pages, Numbers, Keynote, etc.), music (Garageband), photo management (Photo Booth, iPhoto), video-editing or movie-making (iMovie), etc.;iMovie;2;neutral
540;There are several programs for school or office use (Pages, Numbers, Keynote, etc.), music (Garageband), photo management (Photo Booth, iPhoto), video-editing or movie-making (iMovie), etc.;video-editing;2;neutral
541;There are several programs for school or office use (Pages, Numbers, Keynote, etc.), music (Garageband), photo management (Photo Booth, iPhoto), video-editing or movie-making (iMovie), etc.;movie-making;2;neutral
542;There are several programs for school or office use (Pages, Numbers, Keynote, etc.), music (Garageband), photo management (Photo Booth, iPhoto), video-editing or movie-making (iMovie), etc.;photo management;2;neutral
543;There are several programs for school or office use (Pages, Numbers, Keynote, etc.), music (Garageband), photo management (Photo Booth, iPhoto), video-editing or movie-making (iMovie), etc.;music;2;neutral
544;There are several programs for school or office use (Pages, Numbers, Keynote, etc.), music (Garageband), photo management (Photo Booth, iPhoto), video-editing or movie-making (iMovie), etc.;Pages;2;neutral
545;There are several programs for school or office use (Pages, Numbers, Keynote, etc.), music (Garageband), photo management (Photo Booth, iPhoto), video-editing or movie-making (iMovie), etc.;Numbers;2;neutral
546;There are several programs for school or office use (Pages, Numbers, Keynote, etc.), music (Garageband), photo management (Photo Booth, iPhoto), video-editing or movie-making (iMovie), etc.;Keynote;2;neutral
547;There are several programs for school or office use (Pages, Numbers, Keynote, etc.), music (Garageband), photo management (Photo Booth, iPhoto), video-editing or movie-making (iMovie), etc.;school or office use;2;neutral
548;The screen shows great colors.;screen;1;positive
549;The screen shows great colors.;colors;1;positive
550;Reason why? It's because when you buy it, you know first thing that you will not lose any value for that laptop, the price will stay the same for the next year, and even if Apple does decides to change mode, your laptop value will only drop 10-20%, unlike PC laptops which drop more than 80%.;value;1;positive
551;Reason why? It's because when you buy it, you know first thing that you will not lose any value for that laptop, the price will stay the same for the next year, and even if Apple does decides to change mode, your laptop value will only drop 10-20%, unlike PC laptops which drop more than 80%.;price;1;positive
552;Reason why? It's because when you buy it, you know first thing that you will not lose any value for that laptop, the price will stay the same for the next year, and even if Apple does decides to change mode, your laptop value will only drop 10-20%, unlike PC laptops which drop more than 80%.;value;1;positive
553;I have no idea how to burn cd's or to use the web cam, just for starters.;web cam;2;neutral
554;I have no idea how to burn cd's or to use the web cam, just for starters.;burn cd's;2;neutral
555;The 17 inch screen is very large, but the computer is very light.;17 inch screen;0;negative
556;  My opinion of Sony has been dropping as fast as the stock market, given their horrible support, but this machine just caused another plunge.;support;0;negative
557;For the Bluetooth to work properly, you must install the Launch Manager on the Drivers/Applications DVD, or it will not show after the reload.;Bluetooth;2;neutral
558;For the Bluetooth to work properly, you must install the Launch Manager on the Drivers/Applications DVD, or it will not show after the reload.;Drivers/Applications DVD;2;neutral
559;For the Bluetooth to work properly, you must install the Launch Manager on the Drivers/Applications DVD, or it will not show after the reload.;Launch Manager;2;neutral
560;I also liked the glass screen.;glass screen;1;positive
561;The switchable graphic card is pretty sweet when you want gaming on the laptop.;switchable graphic card;1;positive
562;The switchable graphic card is pretty sweet when you want gaming on the laptop.;gaming;2;neutral
563;It's not a wear-and-tear issue, not due to user carelessness and most importantly, they CAN'T guarantee the problem will be solved if it is sent for service and I have to accept the outcome.;service;0;negative
564;The battery life has not decreased since I bought it, so i'm thrilled with that.;battery life;1;positive
565;When I called Toshiba, they would not do anything and even tried to charge me $35 for the phone call, even though they didn't offer any technical support.;technical support;0;negative
566;I bought this notebook and only had it for 3 months If it is overload with updates the BOOT MGR.;BOOT MGR;2;neutral
567;Oh and if thats not bad enough it doesn't come with a recovery cd so you can make one if you know how to or buy one if you buy it the cost is $25 for two cds.;recovery cd;0;negative
568;The price and features more than met my needs.;price;1;positive
569;The price and features more than met my needs.;features;1;positive
570;Skype is just so dang cool with this machine too.;Skype;1;positive
571;the mouse buttons are hard to push.;mouse buttons;0;negative
572;Also, HDD secures inside using rails, and there is only one set on the main hard drive.;HDD;1;positive
573;Also, HDD secures inside using rails, and there is only one set on the main hard drive.;rails;2;neutral
574;Also, HDD secures inside using rails, and there is only one set on the main hard drive.;hard drive;2;neutral
575;All I will say now is that it was over two grand less expensive and so much better quality than my hunk of crap Vaio.;quality;1;positive
576;(Beware, their staff could send you back making you feel that only they know what a computer is.;staff;0;negative
577;Games being the main issue.;Games;0;negative
578;My sister has the same Mac as me and she is in a band and uses GarageBand to record and edit.;GarageBand;2;neutral
579;They say that this will invalidate the warranty on the hard drive (I don't really understand why but anyway).;warranty;0;negative
580;They say that this will invalidate the warranty on the hard drive (I don't really understand why but anyway).;hard drive;2;neutral
581;and looks very sexyy:D  really the mac book pro is the best laptop specially for students in college if you are not caring about price.;price;0;negative
582;A great computer for light home use and business use.;home use;1;positive
583;A great computer for light home use and business use.;business use;1;positive
584;Even with virus protection, it always turned off when updates were needed and installed.;virus protection;0;negative
585;Even with virus protection, it always turned off when updates were needed and installed.;updates;0;negative
586;Also consider the MS Office apps are all trial versions, hope you have your own copies.;MS Office apps;0;negative
587;Even so, I like playing online games, so it was wonderful that there is a feature where I can dualboot Windows.;feature;1;positive
588;Even so, I like playing online games, so it was wonderful that there is a feature where I can dualboot Windows.;Windows;1;positive
589;Even so, I like playing online games, so it was wonderful that there is a feature where I can dualboot Windows.;games;2;neutral
590;The battery life is amazingly long at 7hrs and 5hrs if you use it.;battery life;1;positive
591;lightweight, long battery life, excellent transition from PC;;;
599;I noticed windows has a new system called Windows 7, what about us Vista users?  They should get all the bugs out of Vista before investing in a new system.;Vista;2;neutral
600;I noticed windows has a new system called Windows 7, what about us Vista users?  They should get all the bugs out of Vista before investing in a new system.;Vista;0;negative
601;I noticed windows has a new system called Windows 7, what about us Vista users?  They should get all the bugs out of Vista before investing in a new system.;windows;2;neutral
603;When we bought our new HP comouter in Dec. of 2008, we wanted Windows XP, but were told it would cost an extra $159, so we went with Vista.;Vista;2;neutral
604;The only thing that I have, is the key broad is a little dark to see the letters, would help if it was a little lighter then it is.;key broad;0;negative
605;"I'm still within the one year warranty but the repair ""depot""  has deemed that this time it was caused by physical abuse and is not  covered.";warranty;0;negative
606;"I'm still within the one year warranty but the repair ""depot""  has deemed that this time it was caused by physical abuse and is not  covered.";"repair ""depot""";0;negative
607;  But I needed a laptop for school use.;school use;2;neutral
608;This is the complete opposite to an ergonomic design.;design;0;negative
609;I would like at least a 4 hr. battery life.;battery life;2;neutral
610;The only thing that I don't like about my mac is that sometimes there are programs that I want to be able to run and I am not able to.;programs;0;negative
611;Wireless has not been a issue for me, like some others have meantioned.;Wireless;1;positive
612;MacBook Notebooks quickly die out because of their short battery life, as well as the many background programs that run without the user's knowlede.;battery life;0;negative
613;MacBook Notebooks quickly die out because of their short battery life, as well as the many background programs that run without the user's knowlede.;programs;0;negative
614;All the things you can do with the trackpad make navigating around the computer and its programs so much simpler, quicker, and easier.;trackpad;1;positive
615;All the things you can do with the trackpad make navigating around the computer and its programs so much simpler, quicker, and easier.;programs;1;positive
616;All the things you can do with the trackpad make navigating around the computer and its programs so much simpler, quicker, and easier.;navigating;1;positive
617;I guess the only good thing that came out of these were the speakers and the subwoofer.;speakers;1;positive
618;I guess the only good thing that came out of these were the speakers and the subwoofer.;subwoofer;1;positive
619;Theres a built in camera with special effects- for video and photography.;built in camera;1;positive
620;All for such a great price.;price;1;positive
621;  Long story short, since I experience so many problems with my laptop every since I bought it from day one, I didn't ask for a new laptop or a refund of what I pay for a crapy laptop, but just an extension of my laptop warranty for another year, they made a big deal of out that and after so many calls and complaints about their products and services, they finally gave in.;warranty;2;neutral
622;Another thing is that after only a month the left mouse key broke and it costed $175 to send it in to fix it.;left mouse key;0;negative
623;Another thing is that after only a month the left mouse key broke and it costed $175 to send it in to fix it.;costed;2;neutral
624;It has good speed and plenty of hard drive space.;speed;1;positive
625;It has good speed and plenty of hard drive space.;hard drive space;1;positive
626;Clear picture on it and everything.;picture;1;positive
627;They said that my computer was covered on an extended warranty, and that products with  extended warranties are taken care of through third parties and not Sony itself anymore.;extended warranty;2;neutral
628;They said that my computer was covered on an extended warranty, and that products with  extended warranties are taken care of through third parties and not Sony itself anymore.;extended warranties;2;neutral
629;Very long-life battery (up to 10-11 hours depending on how you configure power level settings).;battery;1;positive
630;Screen is awesome, battery life is good.;Screen;1;positive
631;Screen is awesome, battery life is good.;battery life;1;positive
632;The black model also has a very nice seamless appearance - one of the better looking notebooks I've seen.;appearance;1;positive
633;The technical service for dell is so 3rd world it might as well not even bother.;technical service for dell;0;negative
634;The graphics were awful and the warranty isn't even worth the cheap payment on the computer.;graphics;0;negative
635;The graphics were awful and the warranty isn't even worth the cheap payment on the computer.;warranty;0;negative
636;They gave me a hard time yet again, but their was a malfunction in the battery itself, it didn't die.;battery;0;negative
637;If you don't feel comfortable doing it yourself, just buy the case and be happy, plus it looks nice, I bought the white one from Best Buy.;case;1;positive
